keyword,volume,kd,cpc,intent,parent_topic,n_competitors,competitors_ranking,opportunity_score
simulateur lmnp 2026,5400,30,1.5,transactional,LMNP,3,"avenuedesinvestisseurs.fr,devenir-rentier.fr,plus-riche.com",261.29
comment calculer son taux d'endettement,8100,35,0.9,informational,Crédit,3,"avenuedesinvestisseurs.fr,devenir-rentier.fr,plus-riche.com",225.0
expert comptable lmnp,3600,28,4.2,transactional,LMNP,2,"avenuedesinvestisseurs.fr,devenir-rentier.fr",186.21
calcul rentabilité locative,4400,32,1.1,informational,Immobilier,3,"avenuedesinvestisseurs.fr,devenir-rentier.fr,plus-riche.com",133.33
lmnp réel ou micro bic,2900,22,0.7,informational,LMNP,2,"avenuedesinvestisseurs.fr,devenir-rentier.fr",126.09
comment investir 100000 euros,3600,38,1.2,commercial,Investissement,3,"avenuedesinvestisseurs.fr,esi-bourse.com,plus-riche.com",120.0
etf monde capitalisant,2400,26,1.4,commercial,ETF,3,"avenuedesinvestisseurs.fr,esi-bourse.com,plus-riche.com",115.56
ouvrir pea credit agricole,1900,25,1.8,transactional,PEA,3,"avenuedesinvestisseurs.fr,esi-bourse.com,plus-riche.com",109.62
pinel ou lmnp,1900,28,1.2,commercial,LMNP,2,"avenuedesinvestisseurs.fr,devenir-rentier.fr",85.17
retraite anticipée 50 ans,1900,30,0.8,informational,FIRE,2,"avenuedesinvestisseurs.fr,plus-riche.com",61.29
achat viager fiscalité,1300,24,0.6,informational,Viager,2,"avenuedesinvestisseurs.fr,plus-riche.com",52.0
crédit hypothécaire 2026,880,32,2.4,transactional,Crédit,2,"avenuedesinvestisseurs.fr,plus-riche.com",40.0
dividendes aristocrats europe,720,22,0.9,informational,Dividendes,2,"avenuedesinvestisseurs.fr,esi-bourse.com",31.3
portefeuille etf permanent,590,24,1.0,informational,ETF,2,"esi-bourse.com,plus-riche.com",23.6
