theme,seed,keyword,volume,kd,cpc,intent,is_question,parent_topic,opportunity_score,seasonality_coef,peak_month,is_seasonal
bourse_long_terme,ETF,etf pea,8100,48,1.2,commercial,False,ETF,214.9,1.11,7,False
bourse_long_terme,ETF,etf pea world,2900,30,1.2,commercial,False,Etf,121.61,1.08,7,False
bourse_long_terme,ETF,msci world etf,2900,30,1.4,commercial,False,ETF,121.61,1.07,1,False
bourse_long_terme,ETF,etf monde capitalisant,2400,26,1.4,commercial,False,ETF,115.56,1.13,3,False
bourse_long_terme,PEA,ouvrir pea credit agricole,1900,25,1.8,transactional,False,PEA,109.62,1.11,6,False
bourse_long_terme,PEA,meilleur etf pea,2400,28,1.3,commercial,False,ETF,107.59,1.07,1,False
bourse_long_terme,PEA,pea fonctionnement,3600,35,0.9,informational,False,PEA,100.0,1.08,5,False
bourse_long_terme,ETF,etf pea sp500,1900,28,1.0,commercial,False,Etf,85.17,1.12,3,False
bourse_long_terme,DCA,dca bourse,1900,22,0.7,informational,False,DCA,82.61,1.08,1,False
bourse_long_terme,ETF,cw8 ou ewld,1100,22,0.8,commercial,False,Etf,62.17,1.08,2,False
bourse_long_terme,PEA,compte titres ou pea,1300,28,0.7,commercial,False,PEA,58.28,1.08,8,False
bourse_long_terme,ETF,etf émergents pea,880,26,0.9,commercial,False,Etf,42.37,1.09,2,False
bourse_long_terme,dividendes,fiscalité dividendes pea,880,24,0.5,informational,False,PEA,35.2,3.47,5,True
bourse_long_terme,dividendes,dividendes mensuels,880,24,0.7,informational,False,Dividendes,35.2,1.14,11,False
bourse_long_terme,dividendes,dividendes aristocrats europe,720,22,0.9,informational,False,Dividendes,31.3,1.12,6,False
bourse_long_terme,ETF,portefeuille etf permanent,590,24,1.0,informational,False,ETF,23.6,1.11,6,False
credit_immobilier,renégocier prêt,renégocier prêt immobilier,1900,30,1.6,transactional,False,Crédit,91.94,1.1,10,False
credit_immobilier,HCSF,dscr investissement locatif,720,24,0.9,informational,False,Hcsf,28.8,1.11,9,False
credit_immobilier,HCSF,dérogation hcsf,590,22,0.8,informational,False,Hcsf,25.65,1.08,2,False
credit_immobilier,HCSF,hcsf 2026,480,18,0.8,informational,False,HCSF,25.26,1.08,5,False
credit_immobilier,HCSF,hcsf 35 ans crédit,480,20,0.7,informational,False,Hcsf,22.86,1.07,7,False
independance_financiere,indépendance financière,indépendance financière,5400,42,1.1,informational,False,FIRE,125.58,1.12,6,False
independance_financiere,revenu passif,revenu passif immobilier,1900,28,0.9,commercial,False,FIRE,85.17,1.06,7,False
