keyword,volume,kd,position,url,traffic,cpc,intent,parent_topic,opportunity_score,potential_traffic_uplift
msci world etf,2900,30,13,https://esprit-riche.com/msci-world-etf,29,1.4,commercial,ETF,121.61,275.5
calcul viager occupé,2900,26,9,https://esprit-riche.com/calcul-viager-occup,58,0.4,informational,Viager,107.41,232.0
meilleur etf pea,2400,28,12,https://esprit-riche.com/meilleur-etf-pea,24,1.3,commercial,ETF,107.59,228.0
renégocier prêt immobilier,1900,30,16,https://esprit-riche.com/ren-gocier-pr-t-immobilier,19,1.6,transactional,Crédit,91.94,180.5
amortissement lmnp,2400,25,8,https://esprit-riche.com/amortissement-lmnp,60,0.6,informational,LMNP,92.31,180.0
revenu passif immobilier,1900,28,10,https://esprit-riche.com/revenu-passif-immobilier,34,0.9,commercial,FIRE,85.17,155.8
lmnp 2026,1900,28,7,https://esprit-riche.com/lmnp-2026,57,0.8,informational,LMNP,65.52,133.0
déclaration lmnp 2026,1100,18,14,https://esprit-riche.com/d-claration-lmnp-2026,11,0.9,transactional,LMNP,86.84,104.5
simulateur lmnp gratuit,1100,26,17,https://esprit-riche.com/simulateur-lmnp-gratuit,11,1.2,transactional,LMNP,61.11,104.5
fiscalité viager,1300,28,8,https://esprit-riche.com/fiscalit-viager,32,0.5,informational,Viager,44.83,97.5
rente passive,1300,22,7,https://esprit-riche.com/rente-passive,39,0.6,informational,FIRE,56.52,91.0
réforme lmnp 2026,880,24,11,https://esprit-riche.com/r-forme-lmnp-2026,8,0.7,informational,LMNP,35.2,83.6
vente à terme immobilier,880,22,12,https://esprit-riche.com/vente-terme-immobilier,8,0.6,informational,Vente à terme,38.26,83.6
dividendes mensuels,880,24,9,https://esprit-riche.com/dividendes-mensuels,17,0.7,informational,Dividendes,35.2,70.4
fire retraite anticipée,720,25,11,https://esprit-riche.com/fire-retraite-anticip-e,7,0.5,informational,FIRE,27.69,68.4
bouquet viager calcul,590,20,15,https://esprit-riche.com/bouquet-viager-calcul,5,0.4,informational,Viager,28.1,56.0
lmnp ou lmp,720,22,6,https://esprit-riche.com/lmnp-ou-lmp,28,0.5,commercial,LMNP,40.7,43.2
hcsf 2026,480,18,6,https://esprit-riche.com/hcsf-2026,19,0.8,informational,HCSF,25.26,28.8
